0.9753132600006056, 0.6983741846742393, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.36425049368211093, 0.49313402096414294 | 0.0
0.9753132600006056, 0.6983741846742393, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.49313402096414294 | 2.4
0.9753132600006056, 0.6983741846742393, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.4689042106115698 | 0.0
0.8972402459603667, 0.6983741846742393, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.4689042106115698 | 10.2
0.8972402459603667, 0.6983741846742393, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.41951454426612744 | 0.0
0.8972402459603667, 0.7937080151888902, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.41951454426612744 | 12.8
0.8972402459603667, 0.7937080151888902, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.4711174087067149 | 0.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.27716799021398825, 1000, 0.2873273940163472, 0.4711174087067149 | 0.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.2873273940163472, 0.4711174087067149 | 0.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.2873273940163472, 0.466512757059379 | 15.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.2873273940163472, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.27798283333040524, 0.4762362992036559 | 23.2
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.18817955157326421, 0.4762362992036559 | 4.2
0.8972402459603667, 0.9838561542765252, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.18817955157326421, 0.4762362992036559 | 0.0
0.8972402459603667, 0.9838561542765252, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.13992967278226628, 0.4762362992036559 | 6.0
0.8972402459603667, 0.9838561542765252, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.13992967278226628, 0.5334765569856428 | 1.8
0.8972402459603667, 0.9838561542765252, 0.8816680680976834, 0.602227525679401, 0.30862613139410333, 1000, 0.13992967278226628, 0.5334765569856428 | 5.0
0.9670491154706461, 0.9838561542765252, 0.8816680680976834, 0.602227525679401, 0.30862613139410333, 1000, 0.13992967278226628, 0.5334765569856428 | 0.0
0.9670491154706461, 0.9838561542765252, 0.8816680680976834, 0.602227525679401, 0.2647749378748664, 1000, 0.13992967278226628, 0.5334765569856428 | 0.0
0.9670491154706461, 0.9838561542765252, 0.8816680680976834, 0.602227525679401, 0.34880450381750433, 1000, 0.13992967278226628, 0.5334765569856428 | 5.0
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.377686443302808, 0.4762362992036559 | 5.2
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.40405051569009415, 0.4762362992036559 | 22.2
0.8972402459603667, 0.8931089114734135, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.4634428262247614, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8562333895243746, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.4634428262247614, 0.4762362992036559 | 2.4
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.602227525679401, 0.30862613139410333, 1000, 0.4634428262247614, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.6624303805755493, 0.30862613139410333, 1000, 0.4634428262247614, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.6624303805755493, 0.23225625688054874, 1000, 0.4634428262247614, 0.4762362992036559 | 25.8
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.6624303805755493, 0.23225625688054874, 1000, 0.4644520613716688, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.6624303805755493, 0.23225625688054874, 1000, 0.5559583358380908, 0.4762362992036559 | 0.0
0.8972402459603667, 0.8240706884293454, 0.9409684975677948, 0.6624303805755493, 0.23225625688054874, 1000, 0.5559583358380908, 0.4613090472696325 | 0.0
